,0,1,2,3,4,5
0,64,100000,0.9,0.005,0.01,20
1,64,100000,0.9,0.005,0.001,20
2,64,100000,0.9,0.0005,0.01,20
3,64,100000,0.9,0.0005,0.001,20
4,64,100000,0.9,5e-05,0.01,20
5,64,100000,0.9,5e-05,0.001,20
6,64,100000,0.99,0.005,0.01,20
7,64,100000,0.99,0.005,0.001,20
8,64,100000,0.99,0.0005,0.01,20
9,64,100000,0.99,0.0005,0.001,20
10,64,100000,0.99,5e-05,0.01,20
11,64,100000,0.99,5e-05,0.001,20
