,0
0,5.78
1,8.54
2,3.96
3,0.875
4,15.82
5,16.06
6,15.88
7,15.59
8,11.32
9,11.72
10,11.13
11,2.51
12,7.81
13,10.02
14,10.16
15,7.61
16,15.87
17,16.13
18,17.25
19,16.22
20,12.7
21,12.76
